"CLUSTER-ID","SCHEMA-ID","SCHEMA-NAME","#ENTITIES"
0,14,"geometrical-land-office",19
0,32,"terrestrial-land-office",20
1,26,"real-estate-registration-and-advertising",10
1,27,"real-estate-registration",7
1,28,"real-estate-trascription",5
2,1,"building-land-office",21
2,31,"T02",21
3,9,"declaration",12
3,13,"deed-and-technicality",18
4,6,"council-registry-of-real-estate",15
4,17,"land-information-system",7
5,18,"land-schema",9
5,19,"Mortagage-registry-schema",13
5,35,"urban-office-schema",9
6,5,"council-registry-of-object",8
6,21,"private-renting",6
6,24,"property-grant",16
6,25,"real-estate",15
7,2,"confiscated-property",10
7,12,"declaration-re3",11
8,7,"customs-declaration",11
8,8,"customs-detection",9
8,10,"declaration-of-goods",7
8,11,"declaration-of-violations",5
9,20,"notification-of-equipment",7
9,33,"trade-license",10
10,4,"council-registry-of-identity",5
10,15,"grant",11
10,30,"T01",15
10,34,"trial",9
11,0,"clients",5
11,3,"contracts-and-salaries",7
11,16,"human-resources",4
11,22,"production-items",7
11,23,"production-process",5
11,29,"sales",6
